RSS_1,RSS_3,RSS_4,RSS_5,TxPower,xRegression,yRegression
69,75,73,79,0,5.25,2.25
69,79,74,80,0,5.25,2.25
69,79,74,80,0,5.25,2.25
69,79,77,80,0,5.25,2.25
69,79,75,81,0,5.25,2.25
75,79,83,79,0,5.25,2.25
66,83,83,79,0,5.25,2.25
66,83,80,79,0,5.25,2.25
80,72,80,82,0,5.25,0.75
78,72,83,75,0,5.25,0.75
78,73,79,79,0,5.25,0.75
78,75,76,80,0,5.25,0.75
83,75,77,81,0,5.25,0.75
74,75,77,81,0,5.25,0.75
83,75,73,76,0,5.25,0.75
74,72,78,79,0,5.25,0.75
83,70,80,76,0,5.25,0.75
74,70,77,79,0,5.25,0.75
74,70,77,79,0,5.25,0.75
72,70,78,80,0,5.25,0.75
72,75,87,76,0,5.25,0.75
76,75,78,78,0,5.25,0.75
71,74,77,78,0,5.25,0.75
71,74,77,79,0,5.25,0.75
72,71,72,79,0,5.25,0.75
73,71,73,79,0,5.25,0.75
73,71,78,79,0,5.25,0.75
74,74,73,79,0,5.25,0.75
74,70,76,79,0,5.25,0.75
63,70,82,82,0,6.75,0.75
64,70,82,82,0,6.75,0.75
73,71,82,87,0,6.75,0.75
73,71,73,87,0,6.75,0.75
64,70,73,78,0,6.75,0.75
73,70,73,78,0,6.75,0.75
64,70,73,77,0,6.75,0.75
72,70,83,78,0,6.75,0.75
67,71,73,78,0,6.75,0.75
64,71,73,77,0,6.75,0.75
64,71,82,77,0,6.75,0.75
64,70,73,77,0,6.75,0.75
64,70,83,77,0,6.75,0.75
73,71,77,83,0,6.75,0.75
62,71,77,83,0,6.75,0.75
73,71,73,78,0,6.75,0.75
72,70,81,77,0,6.75,0.75
62,70,80,82,0,6.75,0.75
69,70,84,77,0,6.75,2.25
73,70,81,77,0,6.75,2.25
68,70,84,85,0,6.75,2.25
70,70,84,85,0,6.75,2.25
74,70,86,85,0,6.75,2.25
68,70,84,76,0,6.75,2.25
68,70,83,76,0,6.75,2.25
73,70,83,76,0,6.75,2.25
68,70,83,75,0,6.75,2.25
69,70,83,75,0,6.75,2.25
69,70,85,75,0,6.75,2.25
73,73,85,87,0,6.75,2.25
