RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,xRegression,yRegression
80,78,87,83,73,73,-6,3.75,3.75
78,80,79,81,73,73,-6,3.75,3.75
81,80,86,81,73,72,-6,3.75,3.75
79,81,86,83,75,70,-6,3.75,3.75
81,82,86,80,76,71,-6,3.75,3.75
78,84,86,77,76,71,-6,3.75,3.75
76,79,86,77,73,72,-6,3.75,3.75
75,79,88,82,75,72,-6,3.75,3.75
77,79,88,82,75,72,-6,3.75,3.75
77,84,77,80,73,73,-6,3.75,3.75
77,84,83,78,73,72,-6,3.75,3.75
81,84,89,76,73,71,-6,3.75,3.75
81,84,84,79,84,71,-6,3.75,3.75
81,84,77,79,84,71,-6,3.75,3.75
81,84,77,76,84,71,-6,3.75,3.75
81,84,77,76,84,71,-6,3.75,3.75
83,79,77,76,75,71,-6,3.75,3.75
84,77,77,83,75,72,-6,3.75,3.75
79,77,77,75,75,72,-6,3.75,3.75
83,77,89,83,75,72,-6,3.75,3.75
79,77,83,83,75,71,-6,3.75,3.75
82,83,82,80,75,72,-6,3.75,3.75
75,80,86,77,80,69,-6,2.25,3.75
75,80,86,70,80,66,-6,2.25,3.75
76,81,86,77,77,68,-6,2.25,3.75
77,81,86,70,77,73,-6,2.25,3.75
75,81,89,70,77,73,-6,2.25,3.75
75,80,87,78,82,68,-6,2.25,3.75
75,80,87,78,77,72,-6,2.25,3.75
73,88,88,76,77,74,-6,2.25,3.75
79,80,87,78,77,73,-6,2.25,3.75
79,82,87,79,77,73,-6,2.25,3.75
79,80,85,79,77,67,-6,2.25,3.75
74,80,89,70,77,67,-6,2.25,3.75
76,81,89,79,79,67,-6,2.25,3.75
76,81,89,79,79,67,-6,2.25,3.75
76,81,89,76,79,68,-6,2.25,3.75
75,81,89,77,78,68,-6,2.25,3.75
77,80,88,78,77,67,-6,2.25,3.75
77,80,88,81,79,67,-6,2.25,3.75
76,81,88,70,79,72,-6,2.25,3.75
75,80,85,69,82,72,-6,2.25,3.75
78,82,87,78,77,68,-6,2.25,3.75
74,82,92,78,79,68,-6,2.25,3.75
74,82,92,70,82,68,-6,2.25,3.75
75,82,88,70,77,67,-6,2.25,3.75
74,81,90,70,77,68,-6,2.25,3.75
74,81,90,78,79,68,-6,2.25,3.75
74,81,86,78,79,68,-6,2.25,3.75
74,81,88,80,83,68,-6,2.25,3.75
75,81,89,80,79,66,-6,2.25,3.75
82,80,83,89,70,84,-6,0.75,2.25
86,80,93,89,70,84,-6,0.75,2.25
84,80,93,84,70,84,-6,0.75,2.25
84,80,92,84,78,81,-6,0.75,2.25
85,86,82,88,76,79,-6,0.75,2.25
85,86,82,88,77,84,-6,0.75,2.25
81,86,83,88,78,84,-6,0.75,2.25
81,85,83,86,78,84,-6,0.75,2.25
85,85,83,86,71,84,-6,0.75,2.25
83,85,82,85,70,79,-6,0.75,2.25
85,84,84,85,76,81,-6,0.75,2.25
82,84,81,89,71,83,-6,0.75,2.25
86,84,83,85,71,80,-6,0.75,2.25
83,84,83,91,71,81,-6,0.75,2.25
83,83,92,86,77,84,-6,0.75,2.25
83,82,83,90,71,84,-6,0.75,2.25
80,200,87,75,200,82,-6,2.25,0.75
80,85,85,76,200,82,-6,2.25,0.75
81,85,86,79,80,89,-6,2.25,0.75
80,86,86,75,74,80,-6,2.25,0.75
81,88,86,78,78,80,-6,2.25,0.75
77,80,86,79,83,83,-6,2.25,0.75
81,82,86,80,78,83,-6,2.25,0.75
82,82,86,80,74,86,-6,2.25,0.75
81,93,86,80,74,89,-6,2.25,0.75
75,87,86,80,74,79,-6,2.25,0.75
78,80,87,75,80,79,-6,2.25,0.75
74,200,69,86,200,87,-6,3.75,0.75
66,80,69,83,83,88,-6,3.75,0.75
66,75,69,89,86,88,-6,3.75,0.75
75,85,70,84,85,87,-6,3.75,0.75
67,85,70,84,87,92,-6,3.75,0.75
71,85,70,84,80,92,-6,3.75,0.75
74,83,70,85,87,84,-6,3.75,0.75
66,75,74,85,87,84,-6,3.75,0.75
66,75,74,85,87,86,-6,3.75,0.75
67,84,70,86,80,89,-6,3.75,0.75
74,81,70,88,86,87,-6,3.75,0.75
73,75,75,86,89,85,-6,3.75,0.75
76,75,73,83,89,82,-6,3.75,0.75
70,75,68,84,87,82,-6,3.75,0.75
65,84,71,84,88,85,-6,3.75,0.75
