RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,RSS_1,RSS_2,RSS_3,RSS_4,RSS_5,RSS_6,TxPower,UUID,xRegression,yRegression
70,200,78,77,82,200,-6,0xa123,77,200,78,88,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,82,70,88,200,-7,0xd123,6.75,0.75
70,200,78,77,82,200,-6,0xa123,79,200,78,88,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,77,200,79,73,88,200,-7,0xd123,6.75,0.75
68,200,69,85,87,200,-6,0xa123,83,200,78,86,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,80,80,86,200,-7,0xd123,6.75,0.75
80,200,69,79,87,200,-6,0xa123,77,200,78,87,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,80,81,86,200,-7,0xd123,6.75,0.75
69,200,76,83,83,200,-6,0xa123,84,200,78,88,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,79,200,80,74,89,200,-7,0xd123,6.75,0.75
77,200,70,76,81,200,-6,0xa123,75,200,72,88,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,76,200,82,72,89,200,-7,0xd123,6.75,0.75
76,200,70,78,86,200,-6,0xa123,79,200,72,89,85,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,76,200,82,72,89,200,-7,0xd123,6.75,0.75
82,200,74,80,90,200,-6,0xa123,85,200,73,84,90,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,70,72,81,200,-7,0xd123,5.25,0.75
85,200,77,79,90,200,-6,0xa123,76,200,73,84,91,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,73,72,81,200,-7,0xd123,5.25,0.75
85,200,68,79,87,200,-6,0xa123,76,200,73,84,91,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,71,72,84,200,-7,0xd123,5.25,0.75
85,200,68,83,81,200,-6,0xa123,76,200,73,84,91,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,71,76,84,200,-7,0xd123,5.25,0.75
85,200,78,76,83,200,-6,0xa123,76,200,73,86,91,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,71,74,84,200,-7,0xd123,5.25,0.75
85,200,68,76,86,200,-6,0xa123,76,200,71,86,91,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,70,76,86,200,-7,0xd123,5.25,0.75
72,200,76,81,82,200,-6,0xa123,76,200,73,84,87,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,85,200,71,75,83,200,-7,0xd123,5.25,0.75
73,200,78,81,88,200,-6,0xa123,76,200,73,84,87,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,83,200,89,75,82,200,-7,0xd123,5.25,0.75
86,200,69,76,88,200,-6,0xa123,76,200,70,87,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,72,75,86,200,-7,0xd123,5.25,0.75
72,200,69,82,89,200,-6,0xa123,73,200,70,88,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,83,200,71,76,84,200,-7,0xd123,5.25,0.75
72,200,69,82,89,200,-6,0xa123,73,200,70,88,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,83,200,71,76,86,200,-7,0xd123,5.25,0.75
73,200,78,87,88,200,-6,0xa123,76,200,74,88,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,88,73,86,200,-7,0xd123,5.25,0.75
83,200,78,79,89,200,-6,0xa123,74,200,70,88,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,83,200,71,79,84,200,-7,0xd123,5.25,0.75
74,200,68,77,79,200,-6,0xa123,81,200,84,83,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,78,200,76,79,78,200,-7,0xd123,3.75,0.75
78,200,68,82,91,200,-6,0xa123,85,200,73,80,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,76,78,78,200,-7,0xd123,3.75,0.75
79,200,66,78,91,200,-6,0xa123,86,200,72,84,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,74,78,78,200,-7,0xd123,3.75,0.75
82,200,66,78,91,200,-6,0xa123,79,200,72,84,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,83,200,74,78,78,200,-7,0xd123,3.75,0.75
82,200,68,75,79,200,-6,0xa123,79,200,88,80,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,76,80,78,200,-7,0xd123,3.75,0.75
82,200,66,79,78,200,-6,0xa123,79,200,73,80,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,74,200,76,76,79,200,-7,0xd123,3.75,0.75
82,200,66,79,78,200,-6,0xa123,80,200,87,80,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,72,200,75,73,77,200,-7,0xd123,3.75,0.75
76,200,65,79,78,200,-6,0xa123,78,200,70,80,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,71,200,76,73,77,200,-7,0xd123,3.75,0.75
76,200,68,81,89,200,-6,0xa123,78,200,70,84,83,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,71,200,74,74,78,200,-7,0xd123,3.75,0.75
83,200,67,83,75,200,-6,0xa123,80,200,72,86,81,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,72,200,73,74,78,200,-7,0xd123,3.75,0.75
83,200,67,75,87,200,-6,0xa123,82,200,71,82,81,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,72,200,71,73,78,200,-7,0xd123,3.75,0.75
83,200,66,75,84,200,-6,0xa123,82,200,89,82,81,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,72,200,76,73,85,200,-7,0xd123,3.75,0.75
80,200,67,75,79,200,-6,0xa123,82,200,89,82,84,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,72,200,75,73,85,200,-7,0xd123,3.75,0.75
80,200,68,86,78,200,-6,0xa123,82,200,70,85,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,72,200,75,86,85,200,-7,0xd123,3.75,0.75
75,200,76,73,74,200,-6,0xa123,85,200,87,81,79,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,81,200,72,73,81,200,-7,0xd123,2.25,0.75
77,200,78,73,75,200,-6,0xa123,82,200,90,81,80,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,84,200,75,73,75,200,-7,0xd123,2.25,0.75
77,200,80,83,76,200,-6,0xa123,82,200,90,76,79,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,84,200,76,75,80,200,-7,0xd123,2.25,0.75
79,200,80,77,74,200,-6,0xa123,84,200,90,80,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,86,200,76,75,87,200,-7,0xd123,2.25,0.75
79,200,80,77,74,200,-6,0xa123,84,200,90,80,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,86,200,76,75,87,200,-7,0xd123,2.25,0.75
73,200,80,75,78,200,-6,0xa123,83,200,90,78,84,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,76,86,84,200,-7,0xd123,2.25,0.75
75,200,77,73,75,200,-6,0xa123,83,200,79,81,82,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,82,200,80,73,80,200,-7,0xd123,2.25,0.75
79,200,77,73,80,200,-6,0xa123,83,200,79,80,86,200,-10,0xb123,200,200,200,200,200,200,0,0xc123,80,200,80,83,84,200,-7,0xd123,2.25,0.75
