Anchor 1,Anchor 2,Anchor 3,Anchor 4,Phone / Tx Power,Beacon UUID,Distance
79,88,80,200,-7,0xb123,E6
78,78,82,200,-10,0xa123,E6
84,85,91,200,-7,0xb123,E6
80,82,84,200,-10,0xa123,E6
73,85,87,200,-7,0xb123,E6
84,84,81,200,-10,0xa123,E6
81,77,87,200,-7,0xb123,E6
76,80,79,200,-10,0xa123,E6
78,81,74,200,-7,0xb123,E6
77,84,89,200,-10,0xa123,E6
77,80,82,200,-7,0xb123,E6
84,80,82,200,-10,0xa123,E6
76,84,77,200,-7,0xb123,E6
79,86,88,200,-10,0xa123,E6
82,83,86,200,-7,0xb123,E6
83,84,86,200,-10,0xa123,E6
79,82,74,200,-7,0xb123,E6
76,83,87,200,-10,0xa123,E6
79,85,84,200,-7,0xb123,E6
76,84,80,200,-10,0xa123,E6
79,85,83,200,-7,0xb123,E6
84,83,80,200,-10,0xa123,E6
84,84,81,200,-7,0xb123,E6
80,84,83,200,-10,0xa123,E6
78,85,82,200,-7,0xb123,E6
76,80,81,200,-10,0xa123,E6
80,79,79,200,-7,0xb123,E6
77,88,81,200,-10,0xa123,E6
86,82,79,200,-7,0xb123,E6
78,84,86,200,-10,0xa123,E6
76,88,77,200,-7,0xb123,E6
80,85,85,200,-10,0xa123,E6
75,83,73,200,-7,0xb123,E6
70,75,73,200,-10,0xa123,E6
70,82,71,200,-7,0xb123,E6
79,83,83,200,-10,0xa123,F7
83,75,77,200,-7,0xb123,F7
75,83,88,200,-10,0xa123,F7
73,83,82,200,-7,0xb123,F7
80,78,83,200,-10,0xa123,F7
77,83,87,200,-7,0xb123,F7
80,88,89,200,-10,0xa123,F7
79,84,78,200,-7,0xb123,F7
85,85,86,200,-10,0xa123,F7
81,86,82,200,-7,0xb123,F7
74,88,90,200,-10,0xa123,F7
80,88,86,200,-7,0xb123,F7
84,87,85,200,-10,0xa123,F7
72,84,86,200,-7,0xb123,F7
79,84,82,200,-10,0xa123,F7
68,87,86,200,-7,0xb123,F7
83,86,84,200,-10,0xa123,F7
85,78,84,200,-7,0xb123,F7
80,86,81,200,-10,0xa123,F7
83,90,82,200,-7,0xb123,F7
74,81,81,200,-10,0xa123,F7
84,83,82,200,-7,0xb123,F7
73,90,82,200,-10,0xa123,F7
75,86,85,200,-7,0xb123,F7
88,83,84,200,-10,0xa123,F7
81,88,88,200,-7,0xb123,F7
75,86,88,200,-10,0xa123,F7
78,88,83,200,-7,0xb123,F7
79,89,91,200,-10,0xa123,F7
72,84,78,200,-7,0xb123,F7
80,79,83,200,-10,0xa123,F7
71,87,81,200,-7,0xb123,F7
84,82,85,200,-10,0xa123,F7
69,77,83,200,-7,0xb123,F7
82,80,85,200,-10,0xa123,F7
69,82,83,200,-7,0xb123,F7
75,85,84,200,-10,0xa123,F7
73,81,88,200,-7,0xb123,F7
79,86,88,200,-10,0xa123,F7
73,81,85,200,-7,0xb123,F7
77,83,79,200,-10,0xa123,F7
75,76,85,200,-7,0xb123,F7
79,83,80,200,-10,0xa123,F7
76,84,81,200,-7,0xb123,F7
82,77,74,200,-10,0xa123,F7
79,72,79,200,-7,0xb123,F7
75,88,78,200,-10,0xa123,F7
73,83,79,200,-7,0xb123,F7
79,89,78,200,-10,0xa123,F7
76,83,86,200,-7,0xb123,F7
68,86,80,200,-10,0xa123,F7
78,87,89,200,-7,0xb123,F7
81,86,85,200,-10,0xa123,F7
82,85,83,200,-7,0xb123,F7
83,82,81,200,-10,0xa123,F7
77,78,77,200,-7,0xb123,F7
82,81,83,200,-10,0xa123,F7
75,81,81,200,-7,0xb123,F7
82,85,83,200,-10,0xa123,F7
77,84,80,200,-7,0xb123,F7
71,86,82,200,-10,0xa123,F7
78,83,83,200,-7,0xb123,F7
85,86,88,200,-10,0xa123,F7
79,80,86,200,-7,0xb123,F7
76,83,84,200,-10,0xa123,F7
83,82,88,200,-7,0xb123,F7
84,83,84,200,-10,0xa123,F7
81,81,79,200,-7,0xb123,F7
78,84,86,200,-10,0xa123,F7
72,85,80,200,-7,0xb123,F7
80,83,89,200,-10,0xa123,G8
84,83,86,200,-7,0xb123,G8
