Anchor 1,Anchor 2,Anchor 3,Anchor 4,Phone / Tx Power,Beacon UUID,Distance
77,76,75,200,-10,0xa123,6
80,74,75,200,-7,0xb123,6
73,83,76,200,-10,0xa123,6
83,76,75,200,-7,0xb123,6
80,78,79,200,-10,0xa123,6
70,75,75,200,-7,0xb123,6
81,76,72,200,-10,0xa123,6
69,73,87,200,-7,0xb123,6
69,83,76,200,-10,0xa123,6
66,74,77,200,-7,0xb123,6
73,78,75,200,-10,0xa123,6
70,77,73,200,-7,0xb123,6
77,82,73,200,-10,0xa123,6
74,78,76,200,-7,0xb123,6
73,88,77,200,-10,0xa123,6
73,90,76,200,-7,0xb123,6
76,81,79,200,-10,0xa123,6
74,76,71,200,-7,0xb123,6
78,85,79,200,-10,0xa123,6
68,80,73,200,-7,0xb123,6
70,75,78,200,-10,0xa123,6
75,83,74,200,-7,0xb123,6
75,79,85,200,-10,0xa123,6
73,86,86,200,-7,0xb123,6
82,76,81,200,-10,0xa123,6
78,79,87,200,-7,0xb123,6
75,83,75,200,-10,0xa123,6
75,86,75,200,-7,0xb123,6
66,88,71,200,-10,0xa123,6
77,77,75,200,-7,0xb123,6
82,80,85,200,-10,0xa123,6
73,80,75,200,-7,0xb123,6
74,79,71,200,-10,0xa123,6
80,84,75,200,-7,0xb123,6
72,81,78,200,-10,0xa123,6
68,81,74,200,-7,0xb123,6
70,84,83,200,-10,0xa123,6
77,77,74,200,-7,0xb123,6
74,75,71,200,-10,0xa123,6
73,78,74,200,-7,0xb123,6
74,81,76,200,-10,0xa123,6
73,82,78,200,-7,0xb123,6
67,74,74,200,-10,0xa123,6
79,87,76,200,-7,0xb123,6
71,79,76,200,-10,0xa123,6
78,89,76,200,-7,0xb123,6
80,83,83,200,-10,0xa123,6
81,78,78,200,-7,0xb123,6
79,75,80,200,-10,0xa123,6
71,82,79,200,-7,0xb123,6
71,85,76,200,-10,0xa123,6
79,77,79,200,-7,0xb123,6
76,77,71,200,-10,0xa123,6
74,72,73,200,-7,0xb123,6
65,78,72,200,-10,0xa123,6
72,75,72,200,-7,0xb123,6
76,84,73,200,-10,0xa123,6
83,83,80,200,-7,0xb123,6
77,72,71,200,-10,0xa123,6
75,73,70,200,-7,0xb123,6
74,86,85,200,-10,0xa123,6
68,83,72,200,-7,0xb123,6
86,80,75,200,-10,0xa123,6
76,75,82,200,-7,0xb123,6
81,72,74,200,-10,0xa123,6
71,79,76,200,-7,0xb123,6
73,80,73,200,-10,0xa123,6
75,76,82,200,-7,0xb123,6
83,77,77,200,-10,0xa123,6
71,85,80,200,-7,0xb123,6
78,80,79,200,-10,0xa123,6
74,77,74,200,-7,0xb123,6
80,79,80,200,-10,0xa123,7.2
79,85,79,200,-7,0xb123,7.2
85,77,77,200,-10,0xa123,7.2
85,83,82,200,-7,0xb123,7.2
77,80,77,200,-10,0xa123,7.2
75,84,85,200,-7,0xb123,7.2
79,84,77,200,-10,0xa123,7.2
77,83,77,200,-7,0xb123,7.2
77,81,79,200,-10,0xa123,7.2
77,73,82,200,-7,0xb123,7.2
82,90,83,200,-10,0xa123,7.2
80,89,86,200,-7,0xb123,7.2
85,82,83,200,-10,0xa123,7.2
80,83,83,200,-7,0xb123,7.2
78,84,84,200,-10,0xa123,7.2
80,82,81,200,-7,0xb123,7.2
85,91,83,200,-10,0xa123,7.2
82,78,80,200,-7,0xb123,7.2
77,73,73,200,-10,0xa123,7.2
86,87,80,200,-7,0xb123,7.2
79,82,78,200,-10,0xa123,7.2
83,87,81,200,-7,0xb123,7.2
75,86,78,200,-10,0xa123,7.2
79,84,80,200,-7,0xb123,7.2
75,82,78,200,-10,0xa123,7.2
82,90,85,200,-7,0xb123,7.2
83,82,75,200,-10,0xa123,7.2
79,90,81,200,-7,0xb123,7.2
79,78,82,200,-10,0xa123,7.2
83,88,87,200,-7,0xb123,7.2
74,84,76,200,-10,0xa123,7.2
72,78,84,200,-7,0xb123,7.2
78,84,75,200,-10,0xa123,7.2
72,85,77,200,-7,0xb123,7.2
77,86,83,200,-10,0xa123,7.2
75,85,86,200,-7,0xb123,7.2
77,81,76,200,-10,0xa123,7.2
77,81,78,200,-7,0xb123,7.2
72,85,77,200,-10,0xa123,7.2
79,80,82,200,-7,0xb123,7.2
79,84,85,200,-10,0xa123,7.2
82,85,83,200,-7,0xb123,7.2
79,85,76,200,-10,0xa123,7.2
79,88,80,200,-7,0xb123,7.2
78,78,82,200,-10,0xa123,7.2
84,85,91,200,-7,0xb123,7.2
80,82,84,200,-10,0xa123,7.2
73,85,87,200,-7,0xb123,7.2
84,84,81,200,-10,0xa123,7.2
81,77,87,200,-7,0xb123,7.2
76,80,79,200,-10,0xa123,7.2
78,81,74,200,-7,0xb123,7.2
77,84,89,200,-10,0xa123,7.2
77,80,82,200,-7,0xb123,7.2
84,80,82,200,-10,0xa123,7.2
76,84,77,200,-7,0xb123,7.2
79,86,88,200,-10,0xa123,7.2
82,83,86,200,-7,0xb123,7.2
83,84,86,200,-10,0xa123,7.2
79,82,74,200,-7,0xb123,7.2
76,83,87,200,-10,0xa123,7.2
79,85,84,200,-7,0xb123,7.2
76,84,80,200,-10,0xa123,7.2
79,85,83,200,-7,0xb123,7.2
84,83,80,200,-10,0xa123,7.2
84,84,81,200,-7,0xb123,7.2
80,84,83,200,-10,0xa123,7.2
78,85,82,200,-7,0xb123,7.2
76,80,81,200,-10,0xa123,7.2
80,79,79,200,-7,0xb123,7.2
77,88,81,200,-10,0xa123,7.2
86,82,79,200,-7,0xb123,7.2
78,84,86,200,-10,0xa123,7.2
76,88,77,200,-7,0xb123,7.2
80,85,85,200,-10,0xa123,7.2
75,83,73,200,-7,0xb123,7.2
70,75,73,200,-10,0xa123,7.2
70,82,71,200,-7,0xb123,7.2
79,83,83,200,-10,0xa123,8.4
83,75,77,200,-7,0xb123,8.4
75,83,88,200,-10,0xa123,8.4
73,83,82,200,-7,0xb123,8.4
80,78,83,200,-10,0xa123,8.4
77,83,87,200,-7,0xb123,8.4
80,88,89,200,-10,0xa123,8.4
79,84,78,200,-7,0xb123,8.4
85,85,86,200,-10,0xa123,8.4
81,86,82,200,-7,0xb123,8.4
74,88,90,200,-10,0xa123,8.4
80,88,86,200,-7,0xb123,8.4
84,87,85,200,-10,0xa123,8.4
72,84,86,200,-7,0xb123,8.4
79,84,82,200,-10,0xa123,8.4
68,87,86,200,-7,0xb123,8.4
83,86,84,200,-10,0xa123,8.4
85,78,84,200,-7,0xb123,8.4
80,86,81,200,-10,0xa123,8.4
83,90,82,200,-7,0xb123,8.4
74,81,81,200,-10,0xa123,8.4
84,83,82,200,-7,0xb123,8.4
73,90,82,200,-10,0xa123,8.4
75,86,85,200,-7,0xb123,8.4
88,83,84,200,-10,0xa123,8.4
81,88,88,200,-7,0xb123,8.4
75,86,88,200,-10,0xa123,8.4
78,88,83,200,-7,0xb123,8.4
79,89,91,200,-10,0xa123,8.4
72,84,78,200,-7,0xb123,8.4
80,79,83,200,-10,0xa123,8.4
71,87,81,200,-7,0xb123,8.4
84,82,85,200,-10,0xa123,8.4
69,77,83,200,-7,0xb123,8.4
82,80,85,200,-10,0xa123,8.4
69,82,83,200,-7,0xb123,8.4
75,85,84,200,-10,0xa123,8.4
73,81,88,200,-7,0xb123,8.4
79,86,88,200,-10,0xa123,8.4
73,81,85,200,-7,0xb123,8.4
77,83,79,200,-10,0xa123,8.4
75,76,85,200,-7,0xb123,8.4
79,83,80,200,-10,0xa123,8.4
76,84,81,200,-7,0xb123,8.4
82,77,74,200,-10,0xa123,8.4
79,72,79,200,-7,0xb123,8.4
75,88,78,200,-10,0xa123,8.4
73,83,79,200,-7,0xb123,8.4
79,89,78,200,-10,0xa123,8.4
76,83,86,200,-7,0xb123,8.4
68,86,80,200,-10,0xa123,8.4
78,87,89,200,-7,0xb123,8.4
81,86,85,200,-10,0xa123,8.4
82,85,83,200,-7,0xb123,8.4
83,82,81,200,-10,0xa123,8.4
77,78,77,200,-7,0xb123,8.4
82,81,83,200,-10,0xa123,8.4
75,81,81,200,-7,0xb123,8.4
82,85,83,200,-10,0xa123,8.4
77,84,80,200,-7,0xb123,8.4
71,86,82,200,-10,0xa123,8.4
78,83,83,200,-7,0xb123,8.4
85,86,88,200,-10,0xa123,8.4
79,80,86,200,-7,0xb123,8.4
76,83,84,200,-10,0xa123,8.4
83,82,88,200,-7,0xb123,8.4
84,83,84,200,-10,0xa123,8.4
81,81,79,200,-7,0xb123,8.4
78,84,86,200,-10,0xa123,8.4
72,85,80,200,-7,0xb123,8.4
80,83,89,200,-10,0xa123,9.6
84,83,86,200,-7,0xb123,9.6
81,85,86,200,-10,0xa123,9.6
72,88,86,200,-7,0xb123,9.6
81,82,85,200,-10,0xa123,9.6
83,83,78,200,-7,0xb123,9.6
81,89,84,200,-10,0xa123,9.6
72,85,86,200,-7,0xb123,9.6
71,80,84,200,-10,0xa123,9.6
81,84,78,200,-7,0xb123,9.6
75,84,84,200,-10,0xa123,9.6
78,84,79,200,-7,0xb123,9.6
77,85,79,200,-10,0xa123,9.6
81,86,85,200,-7,0xb123,9.6
79,82,80,200,-10,0xa123,9.6
84,88,83,200,-7,0xb123,9.6
75,80,81,200,-10,0xa123,9.6
82,85,85,200,-7,0xb123,9.6
73,81,88,200,-10,0xa123,9.6
78,86,82,200,-7,0xb123,9.6
79,84,77,200,-10,0xa123,9.6
68,86,88,200,-7,0xb123,9.6
80,87,82,200,-10,0xa123,9.6
76,87,89,200,-7,0xb123,9.6
76,82,83,200,-10,0xa123,9.6
81,75,78,200,-7,0xb123,9.6
74,86,88,200,-10,0xa123,9.6
82,87,75,200,-7,0xb123,9.6
80,86,85,200,-10,0xa123,9.6
81,83,82,200,-7,0xb123,9.6
81,89,90,200,-10,0xa123,9.6
82,87,82,200,-7,0xb123,9.6
75,83,85,200,-10,0xa123,9.6
80,80,76,200,-7,0xb123,9.6
82,85,76,200,-10,0xa123,9.6
69,78,72,200,-7,0xb123,9.6
77,81,88,200,-10,0xa123,9.6
80,79,72,200,-7,0xb123,9.6
82,81,74,200,-10,0xa123,9.6
72,88,70,200,-7,0xb123,9.6
78,84,85,200,-10,0xa123,9.6
75,80,84,200,-7,0xb123,9.6
80,85,81,200,-10,0xa123,9.6
74,81,82,200,-7,0xb123,9.6
82,88,90,200,-10,0xa123,9.6
79,83,85,200,-7,0xb123,9.6
81,88,89,200,-10,0xa123,9.6
77,84,81,200,-7,0xb123,9.6
73,84,83,200,-10,0xa123,9.6
75,86,79,200,-7,0xb123,9.6
75,90,83,200,-10,0xa123,9.6
73,83,75,200,-7,0xb123,9.6
75,85,86,200,-10,0xa123,9.6
79,86,84,200,-7,0xb123,9.6
73,84,87,200,-10,0xa123,9.6
81,85,84,200,-7,0xb123,9.6
77,84,86,200,-10,0xa123,9.6
82,89,77,200,-7,0xb123,9.6
76,86,82,200,-10,0xa123,9.6
72,86,81,200,-7,0xb123,9.6
79,86,82,200,-10,0xa123,9.6
81,79,77,200,-7,0xb123,9.6
74,86,83,200,-10,0xa123,9.6
77,86,81,200,-7,0xb123,9.6
76,88,79,200,-10,0xa123,9.6
75,90,83,200,-7,0xb123,9.6
73,87,88,200,-10,0xa123,9.6
76,86,84,200,-7,0xb123,9.6
84,91,84,200,-10,0xa123,9.6
74,81,80,200,-7,0xb123,9.6
75,86,83,200,-10,0xa123,10.8
76,83,84,200,-7,0xb123,10.8
81,88,84,200,-10,0xa123,10.8
75,87,83,200,-7,0xb123,10.8
83,86,91,200,-10,0xa123,10.8
79,85,78,200,-7,0xb123,10.8
86,81,82,200,-10,0xa123,10.8
77,80,85,200,-7,0xb123,10.8
82,87,82,200,-10,0xa123,10.8
83,79,84,200,-7,0xb123,10.8
78,85,85,200,-10,0xa123,10.8
83,82,78,200,-7,0xb123,10.8
88,78,88,200,-10,0xa123,10.8
82,87,80,200,-7,0xb123,10.8
80,82,82,200,-10,0xa123,10.8
74,87,84,200,-7,0xb123,10.8
77,88,83,200,-10,0xa123,10.8
73,82,85,200,-7,0xb123,10.8
85,83,85,200,-10,0xa123,10.8
86,82,79,200,-7,0xb123,10.8
85,84,83,200,-10,0xa123,10.8
84,89,82,200,-7,0xb123,10.8
79,80,81,200,-10,0xa123,10.8
80,87,85,200,-7,0xb123,10.8
79,78,81,200,-10,0xa123,10.8
79,84,82,200,-7,0xb123,10.8
83,82,81,200,-10,0xa123,10.8
80,85,85,200,-7,0xb123,10.8
77,85,87,200,-10,0xa123,10.8
83,84,80,200,-7,0xb123,10.8
77,85,81,200,-10,0xa123,10.8
81,79,85,200,-7,0xb123,10.8
84,88,83,200,-10,0xa123,10.8
84,81,81,200,-7,0xb123,10.8
79,91,85,200,-10,0xa123,10.8
78,78,86,200,-7,0xb123,10.8
75,90,85,200,-10,0xa123,10.8
83,88,84,200,-7,0xb123,10.8
81,88,85,200,-10,0xa123,10.8
74,88,84,200,-7,0xb123,10.8
75,86,83,200,-10,0xa123,10.8
78,79,82,200,-7,0xb123,10.8
77,84,88,200,-10,0xa123,10.8
83,84,84,200,-7,0xb123,10.8
69,89,89,200,-10,0xa123,10.8
72,84,86,200,-7,0xb123,10.8
69,81,84,200,-10,0xa123,10.8
72,80,84,200,-7,0xb123,10.8
85,86,84,200,-10,0xa123,10.8
81,83,85,200,-7,0xb123,10.8
86,89,85,200,-10,0xa123,10.8
76,87,84,200,-7,0xb123,10.8
83,83,81,200,-10,0xa123,10.8
80,86,80,200,-7,0xb123,10.8
85,79,83,200,-10,0xa123,10.8
74,81,86,200,-7,0xb123,10.8
86,83,85,200,-10,0xa123,10.8
77,85,86,200,-7,0xb123,10.8
80,82,86,200,-10,0xa123,10.8
76,82,86,200,-7,0xb123,10.8
82,84,85,200,-10,0xa123,10.8
76,80,83,200,-7,0xb123,10.8
78,90,85,200,-10,0xa123,10.8
77,85,81,200,-7,0xb123,10.8
84,85,83,200,-10,0xa123,10.8
78,83,82,200,-7,0xb123,10.8
85,80,83,200,-10,0xa123,10.8
80,82,88,200,-7,0xb123,10.8
